"Geolocation","Commodity","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December","2024 Annual"
"PHILIPPINES","Chicken egg*",7.46,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Duck Eggs, Fresh",12.28,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Chicken egg*",6.23,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Duck Eggs, Fresh",15.22,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Chicken egg*",7.60,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
