"Geolocation","Commodity","2016 January","2016 February","2016 March","2016 April","2016 May","2016 June","2016 July","2016 August","2016 September","2016 October","2016 November","2016 December","2016 Annual"
"PHILIPPINES","Carrots",34.46,28.09,32.39,38.72,58.32,59.16,58.77,41.16,31.83,39.31,51.46,63.65,46.13
"PHILIPPINES","Cassava",7.97,8.71,8.32,8.89,8.81,8.74,9.52,12.02,7.85,7.94,7.85,13.99,13.49
"PHILIPPINES","Gabi Cebu, for ginataan [Taro (cocoyam)]",38.51,36.10,37.29,39.14,43.34,46.29,43.05,45.18,46.25,43.29,40.50,39.76,41.96
"PHILIPPINES","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",32.89,31.37,31.59,33.05,33.41,33.30,34.38,43.03,37.94,39.32,42.15,39.18,35.25
"PHILIPPINES","Radish",21.31,27.43,24.40,26.89,31.92,30.96,18.63,30.84,27.02,30.76,35.54,29.83,27.44
"PHILIPPINES","Sweet Potato",21.07,19.22,19.14,21.88,21.13,21.93,22.72,26.72,27.73,25.78,25.16,24.77,22.86
"PHILIPPINES","White/Irish Potato",55.24,53.44,48.25,46.68,47.85,49.46,49.19,52.14,57.12,66.57,68.68,68.11,56.70
"..NATIONAL CAPITAL REGION (NCR)","Carrots",24.15,20.76,25.55,34.88,45.25,..,49.08,55.97,..,..,..,..,36.52
"..NATIONAL CAPITAL REGION (NCR)","Cassava",9.64,11.40,10.08,10.69,11.49,..,12.48,24.42,..,..,..,..,12.89
"..NATIONAL CAPITAL REGION (NCR)","Gabi Cebu, for ginataan [Taro (cocoyam)]",44.68,45.21,42.85,45.81,51.94,..,44.89,74.75,..,..,..,..,50.02
"..NATIONAL CAPITAL REGION (NCR)","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",33.33,28.57,27.75,33.54,34.48,..,35.67,51.23,..,..,..,..,34.94
"..NATIONAL CAPITAL REGION (NCR)","Radish",24.55,25.95,18.55,18.64,27.25,..,18.97,46.87,..,..,..,..,25.83
"..NATIONAL CAPITAL REGION (NCR)","Sweet Potato",26.59,20.91,18.94,19.66,19.30,..,19.14,43.52,..,..,..,..,24.01
"..NATIONAL CAPITAL REGION (NCR)","White/Irish Potato",42.66,43.89,34.08,29.81,35.43,..,40.37,63.14,..,..,..,..,41.34
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Carrots",26.47,21.38,24.92,35.48,53.72,46.87,42.71,23.68,28.56,34.89,54.25,60.37,37.78
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Gabi Cebu, for ginataan [Taro (cocoyam)]",38.70,38.20,37.15,38.77,45.79,72.20,52.22,45.35,53.04,40.04,43.09,49.70,46.19
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Radish",22.65,29.73,24.13,30.77,35.60,41.55,13.48,22.60,32.53,34.56,25.60,25.72,28.24
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Sweet Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","White/Irish Potato",41.15,43.15,35.97,35.29,43.35,43.00,42.77,39.42,46.89,71.16,70.98,61.29,47.87
"....Abra","Carrots",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Gabi Cebu, for ginataan [Taro (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Radish",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Sweet Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","White/Irish Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Carrots",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Gabi Cebu, for ginataan [Taro (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Radish",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Sweet Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","White/Irish Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Carrots",26.47,21.38,24.92,35.48,53.72,46.87,42.71,23.68,28.56,34.89,54.25,60.37,37.78
"....Benguet","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Gabi Cebu, for ginataan [Taro (cocoyam)]",38.70,38.20,37.15,38.77,45.79,72.20,52.22,45.35,53.04,40.04,43.09,49.70,46.19
"....Benguet","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Radish",22.65,29.73,24.13,30.77,35.60,41.55,13.48,22.60,32.53,34.56,25.60,25.72,28.24
"....Benguet","Sweet Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","White/Irish Potato",41.15,43.15,35.97,35.29,43.35,43.00,42.77,39.42,46.89,71.16,70.98,61.29,47.87
"....Ifugao","Carrots",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Gabi Cebu, for ginataan [Taro (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Radish",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Sweet Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","White/Irish Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Carrots",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Gabi Cebu, for ginataan [Taro (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Radish",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Sweet Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","White/Irish Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Carrots",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Gabi Cebu, for ginataan [Taro (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Radish",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Sweet Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","White/Irish Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Carrots",22.15,15.95,20.70,26.18,38.80,31.77,32.05,28.88,26.89,27.80,37.06,46.54,29.56
"..REGION I (ILOCOS REGION)","Cassava",7.60,..,6.95,7.55,..,..,8.82,8.02,8.27,8.25,7.93,8.54,7.99
"..REGION I (ILOCOS REGION)","Gabi Cebu, for ginataan [Taro (cocoyam)]",25.10,29.80,27.22,23.62,23.80,22.93,23.22,23.71,26.50,28.25,28.06,25.51,25.64
"..REGION I (ILOCOS REGION)","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",32.45,34.17,35.43,32.56,32.33,33.30,33.09,34.82,37.94,39.32,42.15,39.18,35.56
"..REGION I (ILOCOS REGION)","Radish",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Sweet Potato",32.25,24.25,19.55,15.63,18.69,16.20,16.85,24.91,36.26,32.60,32.42,28.09,24.81
"..REGION I (ILOCOS REGION)","White/Irish Potato",21.75,23.05,21.90,26.62,27.93,27.88,26.23,27.86,31.87,36.10,42.52,37.84,29.30
"....Ilocos Norte","Carrots",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Gabi Cebu, for ginataan [Taro (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Radish",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Sweet Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","White/Irish Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","Carrots",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","Gabi Cebu, for ginataan [Taro (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","Radish",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","Sweet Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","White/Irish Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....La Union","Carrots",..,..,..,..,..,..,..,..,..,..,..,..,..
"....La Union","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"....La Union","Gabi Cebu, for ginataan [Taro (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....La Union","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....La Union","Radish",..,..,..,..,..,..,..,..,..,..,..,..,..
"....La Union","Sweet Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....La Union","White/Irish Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","Carrots",22.15,15.95,20.70,26.18,38.80,31.77,32.05,28.88,26.89,27.80,37.06,46.54,29.56
"....Pangasinan","Cassava",7.60,..,6.95,7.55,..,..,8.82,8.02,8.27,8.25,7.93,8.54,7.99
"....Pangasinan","Gabi Cebu, for ginataan [Taro (cocoyam)]",25.10,29.80,27.22,23.62,23.80,22.93,23.22,23.71,26.50,28.25,28.06,25.51,25.64
"....Pangasinan","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",32.45,34.17,35.43,32.56,32.33,33.30,33.09,34.82,37.94,39.32,42.15,39.18,35.56
"....Pangasinan","Radish",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pangasinan","Sweet Potato",32.25,24.25,19.55,15.63,18.69,16.20,16.85,24.91,36.26,32.60,32.42,28.09,24.81
"....Pangasinan","White/Irish Potato",21.75,23.05,21.90,26.62,27.93,27.88,26.23,27.86,31.87,36.10,42.52,37.84,29.30
"..REGION II (CAGAYAN VALLEY)","Carrots",24.51,19.03,27.42,30.80,48.66,41.56,48.50,30.04,22.25,28.10,47.81,64.66,36.11
"..REGION II (CAGAYAN VALLEY)","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION II (CAGAYAN VALLEY)","Gabi Cebu, for ginataan [Taro (cocoyam)]",69.42,55.69,63.91,67.62,74.44,66.82,66.26,60.40,73.46,73.62,64.69,65.62,66.83
"..REGION II (CAGAYAN VALLEY)","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION II (CAGAYAN VALLEY)","Radish",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION II (CAGAYAN VALLEY)","Sweet Potato",23.75,21.02,20.69,20.78,16.87,18.09,19.75,19.36,29.30,28.19,30.97,30.76,23.29
"..REGION II (CAGAYAN VALLEY)","White/Irish Potato",47.94,45.41,41.03,38.59,41.88,42.60,44.59,48.51,59.00,73.58,76.17,68.46,52.32
"....Cagayan","Carrots",27.08,20.46,29.93,32.69,49.46,47.77,54.31,33.16,23.15,28.62,45.69,66.62,38.25
"....Cagayan","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","Gabi Cebu, for ginataan [Taro (cocoyam)]",69.42,55.69,63.91,67.62,74.44,66.82,66.26,60.40,73.46,73.62,64.69,65.62,66.83
"....Cagayan","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","Radish",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","Sweet Potato",27.23,22.46,22.92,24.23,19.38,21.22,23.31,22.27,35.00,35.00,33.54,31.85,26.53
"....Cagayan","White/Irish Potato",50.46,45.77,41.83,37.92,43.92,42.62,45.46,45.05,55.54,68.38,76.71,71.00,52.06
"....Isabela","Carrots",21.93,17.60,24.90,28.91,47.86,35.35,42.69,26.91,21.35,27.57,49.92,62.69,33.97
"....Isabela","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Isabela","Gabi Cebu, for ginataan [Taro (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Isabela","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
