"Geolocation","Commodity","2016 January","2016 February","2016 March","2016 April","2016 May","2016 June","2016 July","2016 August","2016 September","2016 October","2016 November","2016 December","2016 Annual"
"PHILIPPINES","Habitchuelas [Snap beans]",30.57,33.48,34.65,37.91,60.15,48.12,29.46,35.42,45.81,51.48,56.83,45.97,42.17
"PHILIPPINES","Kidney Beans, white",53.19,59.84,65.05,51.79,64.23,59.29,51.50,57.66,54.71,56.75,57.15,64.00,58.28
"PHILIPPINES","Mongo [Mungbean], green",47.75,64.21,64.09,62.99,64.28,..,62.83,87.88,..,..,..,..,47.74
"PHILIPPINES","Mongo [Mungbean], Yellow",79.78,83.30,82.73,..,..,..,83.89,109.83,..,..,..,..,87.91
"PHILIPPINES","Peanut with shell, dry",77.07,74.85,75.22,67.03,76.00,83.84,79.15,81.69,68.87,77.89,67.45,75.98,75.42
"PHILIPPINES","Peanut without shell, dry",76.93,77.26,77.70,67.39,74.91,73.36,79.93,79.89,77.73,74.28,64.63,70.52,75.67
"PHILIPPINES","Stringbeans",33.09,33.14,31.93,35.53,39.71,37.33,29.01,29.79,31.56,32.45,33.97,35.58,34.05
"PHILIPPINES","Sweet Peas",79.63,76.00,75.27,99.21,144.60,170.98,145.06,178.65,187.50,242.07,230.93,134.31,138.05
"PHILIPPINES","Sweet Peas Native",53.78,43.75,55.96,88.23,133.59,128.33,146.67,137.69,187.17,221.25,182.33,127.50,125.52
"..NATIONAL CAPITAL REGION (NCR)","Habitchuelas [Snap beans]",28.46,31.60,33.75,38.20,61.38,..,26.39,58.43,..,..,..,..,39.74
"..NATIONAL CAPITAL REGION (NCR)","Kidney Beans, white",73.05,59.05,67.93,47.41,64.83,..,45.60,..,..,..,..,..,59.65
"..NATIONAL CAPITAL REGION (NCR)","Mongo [Mungbean], green",67.74,64.21,64.09,62.99,64.28,..,62.83,87.88,..,..,..,..,67.72
"..NATIONAL CAPITAL REGION (NCR)","Mongo [Mungbean], Yellow",79.78,83.30,82.73,..,..,..,83.89,109.83,..,..,..,..,87.91
"..NATIONAL CAPITAL REGION (NCR)","Peanut with shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Peanut without shell, dry",80.50,74.45,..,72.82,78.38,..,86.22,86.31,..,..,..,..,79.78
"..NATIONAL CAPITAL REGION (NCR)","Stringbeans",50.03,39.48,32.50,37.94,46.73,..,26.96,60.50,..,..,..,..,42.02
"..NATIONAL CAPITAL REGION (NCR)","Sweet Peas",85.64,84.56,92.56,116.39,162.50,..,143.11,215.14,..,..,..,..,128.56
"..NATIONAL CAPITAL REGION (NCR)","Sweet Peas Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Habitchuelas [Snap beans]",26.25,27.78,29.28,35.97,49.83,36.93,18.51,29.46,44.96,66.07,62.82,37.42,38.77
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Kidney Beans, white",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Mongo [Mungbean], green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Mongo [Mungbean], Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Peanut with shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Peanut without shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Stringbeans",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Sweet Peas",71.80,69.90,68.67,100.92,154.22,190.58,128.52,152.23,220.00,256.87,225.75,118.15,146.47
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Sweet Peas Native",53.78,43.75,55.96,88.23,133.59,128.33,146.67,137.69,187.17,221.25,182.33,127.50,125.52
"....Abra","Habitchuelas [Snap beans]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Kidney Beans, white",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Mongo [Mungbean], green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Mongo [Mungbean], Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Peanut with shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Peanut without shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Stringbeans",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Sweet Peas",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Sweet Peas Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Habitchuelas [Snap beans]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Kidney Beans, white",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Mongo [Mungbean], green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Mongo [Mungbean], Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Peanut with shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Peanut without shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Stringbeans",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Sweet Peas",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Sweet Peas Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Habitchuelas [Snap beans]",26.25,27.78,29.28,35.97,49.83,36.93,18.51,29.46,44.96,66.07,62.82,37.42,38.77
"....Benguet","Kidney Beans, white",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Mongo [Mungbean], green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Mongo [Mungbean], Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Peanut with shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Peanut without shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Stringbeans",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Sweet Peas",71.80,69.90,68.67,100.92,154.22,190.58,128.52,152.23,220.00,256.87,225.75,118.15,146.47
"....Benguet","Sweet Peas Native",53.78,43.75,55.96,88.23,133.59,128.33,146.67,137.69,187.17,221.25,182.33,127.50,125.52
"....Ifugao","Habitchuelas [Snap beans]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Kidney Beans, white",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Mongo [Mungbean], green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Mongo [Mungbean], Yellow",..,..,..,..,..,..,..,..,..,..,..,..,..
