"Geolocation","Commodity","2018 January","2018 February","2018 March","2018 April","2018 May","2018 June","2018 July","2018 August","2018 September","2018 October","2018 November","2018 December","2018 Annual"
"PHILIPPINES","Garlic Taiwan (Imported)",65.82,71.73,70.07,70.88,70.33,70.08,61.44,54.39,55.68,50.63,56.88,58.04,63.06
"PHILIPPINES","Garlic",185.18,158.58,136.03,146.25,141.34,157.84,144.92,141.54,139.06,131.17,132.76,95.00,132.82
"PHILIPPINES","Ginger Hawaiian",36.87,34.32,31.76,33.25,32.52,37.15,37.82,42.25,45.63,47.04,47.21,46.50,40.11
"PHILIPPINES","Ginger Native",38.36,33.58,36.81,35.70,37.66,37.28,37.07,41.74,47.61,48.98,53.38,64.23,42.13
"PHILIPPINES","Onion Leeks",47.86,50.27,43.55,46.58,47.35,39.21,41.71,61.79,99.43,53.61,56.66,58.04,49.89
"PHILIPPINES","Onion native (red shallot), multiplier",66.08,59.50,55.34,51.00,50.00,50.00,51.54,..,70.00,..,74.85,..,59.14
"PHILIPPINES","Onion Red Creole (Bermuda Red)",84.86,67.20,60.69,61.67,64.60,76.72,77.37,85.17,82.81,67.68,62.37,59.50,73.41
"PHILIPPINES","Onion White (Yellow Granex)",47.40,38.12,27.05,25.93,25.63,43.81,46.00,..,52.46,54.69,55.31,..,41.64
"PHILIPPINES","Pepper bell",114.36,116.48,134.60,121.97,125.42,136.21,110.09,121.76,147.48,161.63,137.48,111.46,125.60
"PHILIPPINES","Pepper finger, green",55.09,46.47,32.92,30.16,43.52,48.71,58.94,96.87,104.04,170.04,121.38,34.07,72.95
"PHILIPPINES","Pepper hot, red labuyo [Chili pepper]",85.77,56.25,46.75,46.50,47.77,97.85,183.59,341.90,442.63,504.57,341.86,..,199.59
"..NATIONAL CAPITAL REGION (NCR)","Garlic Taiwan (Imported)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Garlic",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ginger Hawaiian",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ginger Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Onion Leeks",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Onion native (red shallot), multiplier",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Onion Red Creole (Bermuda Red)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Onion White (Yellow Granex)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Pepper bell",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Pepper finger, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Pepper hot, red labuyo [Chili pepper]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Garlic Taiwan (Imported)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Garlic",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ginger Hawaiian",45.83,38.93,38.80,46.20,..,50.97,46.82,52.04,51.80,58.28,58.85,57.91,49.68
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ginger Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Onion Leeks",35.97,38.05,38.27,31.75,..,39.11,40.32,102.50,162.67,99.46,99.08,102.36,71.78
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Onion native (red shallot), multiplier",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Onion Red Creole (Bermuda Red)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Onion White (Yellow Granex)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Pepper bell",67.69,73.25,135.43,96.00,..,107.92,83.38,127.86,177.50,170.62,104.15,111.73,114.14
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Pepper finger, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Pepper hot, red labuyo [Chili pepper]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Garlic Taiwan (Imported)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Garlic",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Ginger Hawaiian",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Ginger Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Onion Leeks",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Onion native (red shallot), multiplier",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Onion Red Creole (Bermuda Red)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Onion White (Yellow Granex)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Pepper bell",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Pepper finger, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Pepper hot, red labuyo [Chili pepper]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Garlic Taiwan (Imported)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Garlic",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Ginger Hawaiian",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Ginger Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Onion Leeks",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Onion native (red shallot), multiplier",..,..,..,..,..,..,..,..,..,..,..,..,..
