"Geolocation","Commodity","2019 January","2019 February","2019 March","2019 April","2019 May","2019 June","2019 July","2019 August","2019 September","2019 October","2019 November","2019 December","2019 Annual"
"PHILIPPINES","Alumahan [Indian mackerel]",147.67,149.33,153.79,146.75,144.31,132.15,130.42,155.48,138.08,136.27,145.22,170.54,147.19
"PHILIPPINES","Bangus [Milkfish]",138.30,140.55,134.64,130.91,131.66,122.02,120.20,123.18,127.25,128.41,132.70,137.79,130.19
"PHILIPPINES","Bisugo [Threadfin bream]",207.59,212.49,204.55,207.74,226.68,189.91,190.82,205.12,200.66,185.32,195.85,227.68,204.65
"PHILIPPINES","Crab, Alimasag [Blue crab]",213.17,201.16,195.97,187.96,223.79,183.79,186.62,193.33,189.39,175.84,191.83,233.79,237.25
"PHILIPPINES","Dalagang-Bukid, bilog [Caesio]",158.75,148.75,169.38,146.00,161.08,122.94,138.61,140.73,134.46,120.51,131.07,162.20,152.00
"PHILIPPINES","Dalagang-Bukid, lapad [Caesio]",174.67,171.94,189.45,174.42,170.53,130.99,207.58,211.36,210.95,192.65,182.87,220.83,175.13
"PHILIPPINES","Dilis [Anchovies]",82.20,75.86,75.83,70.74,80.21,76.66,70.60,77.85,75.74,72.67,80.20,85.45,76.41
"PHILIPPINES","Espada [Hairtail]",103.70,123.33,..,..,125.00,122.50,117.50,118.75,116.67,116.67,116.67,113.33,117.41
"PHILIPPINES","Galunggong [Roundscad]",126.86,117.62,108.96,104.78,114.74,106.81,107.48,119.03,109.13,109.11,117.71,138.12,114.04
"PHILIPPINES","Hasa-hasa [Indo-Pacific mackerel]",159.49,162.97,154.84,162.89,152.33,146.18,135.28,147.66,138.06,149.42,172.29,174.31,151.31
"PHILIPPINES","Kalaso [Lizard fish]",105.20,101.20,101.64,105.50,105.67,104.89,97.20,102.80,95.27,95.27,94.22,105.85,101.23
"PHILIPPINES","Lapu-lapu [Grouper]",426.84,409.50,408.40,328.93,312.47,317.10,272.05,310.25,339.69,285.29,309.86,353.92,344.86
"PHILIPPINES","Lapu-lapu [Grouper], other than red species",402.39,380.71,359.86,337.91,351.66,325.73,301.20,331.02,322.51,323.62,319.62,372.24,334.33
"PHILIPPINES","Matang-baka [Big-eyed scad]",153.86,149.33,139.83,129.07,132.83,135.66,134.17,154.06,125.22,129.44,141.19,150.34,136.57
"PHILIPPINES","Pusit [Squid]",222.34,207.21,198.07,196.79,205.00,197.58,217.08,223.25,210.65,202.72,225.24,239.69,209.23
"PHILIPPINES","Salay-salay [Crevalle]",192.21,175.65,166.48,151.36,152.27,155.08,160.93,180.14,134.32,128.35,167.35,174.58,158.20
"PHILIPPINES","Sapsap [Slipmouth]",142.60,144.27,149.65,157.54,166.36,118.61,107.93,141.36,145.82,135.94,144.62,160.26,147.43
"PHILIPPINES","Shrimp, Suaje [Endeavor prawn]",352.55,343.40,362.71,379.06,364.09,340.66,327.91,327.09,316.61,346.93,355.81,348.64,334.18
