"Geolocation","Commodity","2014 January","2014 February","2014 March","2014 April","2014 May","2014 June","2014 July","2014 August","2014 September","2014 October","2014 November","2014 December","2014 Annual"
"PHILIPPINES","Banana Bungulan, ripe*",10.73,10.25,12.13,14.14,12.31,15.82,17.93,16.83,16.19,16.13,16.44,16.44,12.81
"PHILIPPINES","Banana Lakatan, ripe*",39.47,40.04,40.90,40.29,39.92,35.99,38.24,39.66,37.96,38.42,39.80,40.10,37.10
"PHILIPPINES","Banana Latundan, ripe*",20.58,22.14,22.15,22.12,22.29,22.39,22.53,23.20,23.33,23.54,23.42,22.91,20.49
"PHILIPPINES","Banana Saba, ripe*",13.06,13.74,14.92,14.82,14.87,14.58,15.53,16.58,16.98,19.13,19.45,20.12,16.55
"PHILIPPINES","Banana Saba, Green",8.22,7.48,7.30,9.75,9.07,7.65,8.22,8.65,9.86,10.00,10.80,9.03,8.84
"PHILIPPINES","Calamansi",55.28,43.19,47.31,53.49,46.06,30.56,24.73,23.40,19.36,17.07,24.35,30.69,34.66
"PHILIPPINES","Mandarin Szinkom",15.00,..,..,..,..,..,..,..,..,..,..,18.67,16.84
"PHILIPPINES","Mango Carabao, green",40.80,42.73,40.39,37.78,31.39,27.43,35.91,50.14,53.13,49.49,51.06,50.34,42.55
"PHILIPPINES","Mango Carabao, ripe",51.60,39.41,40.44,46.31,34.10,29.01,44.84,68.05,79.68,70.92,65.19,66.83,47.44
"PHILIPPINES","Muskmelon*",18.09,18.10,24.21,22.41,21.00,19.26,21.29,24.00,26.39,17.60,22.24,21.00,22.04
"PHILIPPINES","Papaya Hawaiian*",17.49,17.89,18.19,18.90,19.87,18.08,19.87,18.60,19.75,22.09,22.13,23.00,19.62
"PHILIPPINES","Pineapple Hawaiian*",23.15,19.00,21.96,22.34,24.82,25.15,22.75,23.01,23.60,23.80,22.67,29.00,24.63
"PHILIPPINES","Watermelon*",35.81,39.92,44.86,29.31,26.39,26.32,23.44,22.45,20.86,22.00,22.17,24.13,29.94
"..NATIONAL CAPITAL REGION (NCR)","Banana Bungulan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Banana Lakatan, ripe*",32.76,34.02,34.06,34.18,35.48,34.20,37.00,37.27,37.07,36.80,37.26,..,35.46
"..NATIONAL CAPITAL REGION (NCR)","Banana Latundan, ripe*",24.34,26.96,27.03,26.52,26.76,27.40,24.12,25.39,25.69,26.31,26.52,..,26.09
"..NATIONAL CAPITAL REGION (NCR)","Banana Saba, ripe*",12.44,9.08,14.82,15.41,15.41,13.60,15.31,16.73,16.73,17.01,14.74,..,14.66
"..NATIONAL CAPITAL REGION (NCR)","Banana Saba, Green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Calamansi",57.61,38.65,49.27,61.69,45.84,25.55,21.61,23.26,16.95,15.53,25.96,..,34.72
"..NATIONAL CAPITAL REGION (NCR)","Mandarin Szinkom",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Mango Carabao, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Mango Carabao, ripe",44.99,34.30,31.98,34.78,39.29,36.09,58.16,68.57,70.40,72.39,70.76,..,51.06
"..NATIONAL CAPITAL REGION (NCR)","Muskmelon*",22.78,25.00,31.18,26.67,27.04,..,28.10,30.00,35.00,..,..,..,28.22
"..NATIONAL CAPITAL REGION (NCR)","Papaya Hawaiian*",17.68,18.57,19.25,16.80,19.73,..,19.73,19.20,22.00,24.73,23.41,..,20.11
"..NATIONAL CAPITAL REGION (NCR)","Pineapple Hawaiian*",24.65,24.67,24.04,23.32,24.57,25.16,25.42,25.38,25.63,24.62,24.83,..,24.75
"..NATIONAL CAPITAL REGION (NCR)","Watermelon*",15.25,44.41,44.58,36.20,33.38,33.49,26.08,24.69,22.71,22.00,22.17,..,29.54
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Banana Bungulan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Banana Lakatan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Banana Latundan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Banana Saba, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Banana Saba, Green",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Calamansi",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Mandarin Szinkom",..,..,..,..,..,..,..,..,..,..,..,..,..
