"Geolocation","Commodity","2021 January","2021 February","2021 March","2021 April","2021 May","2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","2021 December","2021 Annual"
"PHILIPPINES","Ampalaya [Bitter gourd]",87.57,58.72,46.94,42.08,37.33,49.23,50.08,61.96,56.72,59.21,54.03,61.00,58.40
"PHILIPPINES","Ampalaya [Bitter gourd] Native Variety",76.25,48.69,33.98,24.71,25.85,29.58,37.47,44.85,33.42,46.00,34.76,41.53,38.22
"PHILIPPINES","Chayote",21.30,18.62,15.35,16.67,18.79,20.14,21.01,28.80,29.18,22.94,18.18,25.65,21.49
"PHILIPPINES","Cucumber",54.80,31.53,27.81,29.23,30.82,26.78,32.27,29.64,32.67,42.38,34.93,37.41,32.38
"PHILIPPINES","Eggplant long, purple",83.24,59.47,45.80,42.15,36.71,34.17,33.82,45.85,32.18,41.86,39.36,52.06,46.08
"PHILIPPINES","Eggplant native, round",67.50,56.33,44.22,38.24,28.09,27.23,30.81,56.73,36.78,47.42,38.23,45.84,41.25
"PHILIPPINES","Jackfruit Green [Vegetable]",14.75,38.37,36.27,32.88,25.55,15.00,33.49,15.06,21.67,34.32,33.43,33.15,33.37
"PHILIPPINES","Okra",56.39,31.76,30.60,29.34,26.07,33.34,30.67,35.86,16.37,26.51,27.22,48.67,33.57
"PHILIPPINES","Patola [Dishrag gourd], native",48.15,32.35,28.75,25.94,25.94,32.81,29.29,..,..,..,..,..,38.67
"PHILIPPINES","Squash",52.68,39.93,20.55,15.82,12.62,14.31,20.10,26.05,26.60,22.32,17.91,16.84,23.75
"PHILIPPINES","Tomato",64.48,33.14,21.43,20.28,19.17,33.01,53.11,50.40,40.41,39.04,32.33,34.95,38.14
"PHILIPPINES","Tomato, green",59.68,39.90,21.07,24.11,21.84,35.43,59.65,49.41,41.79,32.81,37.90,38.29,37.61
"PHILIPPINES","Upo [Bottle gourd]",23.35,16.87,13.68,13.45,13.34,17.46,20.82,27.88,21.26,18.93,18.21,16.44,17.99
"..NATIONAL CAPITAL REGION (NCR)","Ampalaya [Bitter gourd]",95.90,57.19,43.53,36.25,35.21,47.23,56.21,..,..,55.10,33.36,53.87,51.39
"..NATIONAL CAPITAL REGION (NCR)","Ampalaya [Bitter gourd] Native Variety",..,55.33,40.00,29.25,28.17,..,36.08,..,..,..,31.93,34.43,36.46
"..NATIONAL CAPITAL REGION (NCR)","Chayote",14.15,10.25,7.46,11.20,15.73,21.01,21.72,..,..,17.72,17.66,21.66,15.86
"..NATIONAL CAPITAL REGION (NCR)","Cucumber",50.05,32.08,29.29,31.21,29.88,..,41.01,..,..,..,37.68,37.93,36.14
"..NATIONAL CAPITAL REGION (NCR)","Eggplant long, purple",99.17,61.75,38.50,36.36,29.73,25.51,38.91,..,..,51.54,42.60,..,47.12
"..NATIONAL CAPITAL REGION (NCR)","Eggplant native, round",..,61.25,42.24,33.10,28.98,30.00,36.57,..,..,..,43.11,..,39.32
"..NATIONAL CAPITAL REGION (NCR)","Jackfruit Green [Vegetable]",..,63.57,57.73,51.91,36.69,..,51.64,..,..,48.43,46.79,41.86,49.83
"..NATIONAL CAPITAL REGION (NCR)","Okra",67.73,28.44,31.54,28.16,24.98,..,25.46,..,..,30.29,21.82,..,32.30
"..NATIONAL CAPITAL REGION (NCR)","Patola [Dishrag gourd], native",48.15,..,..,..,..,..,..,..,..,..,..,..,48.15
"..NATIONAL CAPITAL REGION (NCR)","Squash",70.45,47.50,19.82,14.99,13.19,14.36,19.00,..,30.41,25.92,17.55,16.09,26.30
"..NATIONAL CAPITAL REGION (NCR)","Tomato",70.76,26.34,11.60,11.23,13.83,..,65.27,..,35.84,26.50,28.60,28.09,31.81
"..NATIONAL CAPITAL REGION (NCR)","Tomato, green",..,..,13.00,..,17.55,..,65.19,..,37.11,30.44,29.00,28.00,31.47
"..NATIONAL CAPITAL REGION (NCR)","Upo [Bottle gourd]",24.70,13.05,12.40,12.71,13.58,18.54,20.47,..,..,18.28,16.14,17.99,16.79
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ampalaya [Bitter gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ampalaya [Bitter gourd] Native Variety",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Chayote",..,9.23,..,..,..,15.84,19.09,39.09,..,..,..,..,20.81
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Cucumber",..,26.50,..,..,..,26.22,25.02,28.16,..,..,..,..,26.48
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Jackfruit Green [Vegetable]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Okra",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Squash",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Tomato",..,28.53,..,..,..,23.49,48.62,48.18,..,..,..,..,37.21
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Tomato, green",..,28.29,..,..,..,24.52,47.34,47.30,..,..,..,..,36.86
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Upo [Bottle gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Ampalaya [Bitter gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Ampalaya [Bitter gourd] Native Variety",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Chayote",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Cucumber",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Jackfruit Green [Vegetable]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Okra",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Squash",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Tomato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Tomato, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Upo [Bottle gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Ampalaya [Bitter gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Ampalaya [Bitter gourd] Native Variety",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Chayote",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Cucumber",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Jackfruit Green [Vegetable]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Okra",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Squash",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Tomato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Tomato, green",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Upo [Bottle gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Ampalaya [Bitter gourd]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Ampalaya [Bitter gourd] Native Variety",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Chayote",..,9.23,..,..,..,15.84,19.09,39.09,..,..,..,..,20.81
"....Benguet","Cucumber",..,26.50,..,..,..,26.22,25.02,28.16,..,..,..,..,26.48
"....Benguet","Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Jackfruit Green [Vegetable]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Okra",..,..,..,..,..,..,..,..,..,..,..,..,..
