"Geolocation","Commodity","2015 January","2015 February","2015 March","2015 April","2015 May","2015 June","2015 July","2015 August","2015 September","2015 October","2015 November","2015 December","2015 Annual"
"PHILIPPINES","Celery",46.82,45.60,44.21,40.48,45.21,59.97,75.08,103.32,103.01,83.55,55.04,40.91,62.49
"PHILIPPINES","Broccoli",44.02,38.11,56.34,36.41,42.67,39.69,54.67,64.05,89.24,85.79,57.23,55.93,56.10
"PHILIPPINES","Cabbage",28.51,23.50,23.41,25.53,35.67,31.67,40.72,48.41,46.86,50.77,42.46,37.96,36.36
"PHILIPPINES","Cauliflower",37.81,37.82,44.50,35.39,40.97,42.89,86.64,98.21,125.03,64.47,63.46,70.16,66.94
"PHILIPPINES","Lettuce head",27.31,35.77,37.09,40.61,36.67,36.69,75.84,163.97,81.15,31.24,47.06,37.16,62.51
"PHILIPPINES","Pechay Baguio [Chinese cabbage]",27.23,20.18,19.58,21.18,28.32,27.79,42.14,57.04,44.35,35.35,31.54,27.35,31.78
"PHILIPPINES","Pechay native",30.09,21.48,23.67,26.86,28.38,31.23,41.51,35.36,36.06,37.63,34.26,35.19,33.89
"..NATIONAL CAPITAL REGION (NCR)","Celery",..,42.44,42.60,46.60,..,..,65.11,99.81,108.46,..,56.13,50.30,63.93
"..NATIONAL CAPITAL REGION (NCR)","Broccoli",..,37.70,57.15,44.45,..,..,51.27,56.66,87.06,..,63.17,63.13,57.57
"..NATIONAL CAPITAL REGION (NCR)","Cabbage",..,19.11,24.13,17.80,..,..,33.91,55.75,54.13,..,39.85,49.76,36.81
"..NATIONAL CAPITAL REGION (NCR)","Cauliflower",..,40.56,46.86,41.95,..,..,116.79,122.12,171.81,..,82.65,84.93,88.46
"..NATIONAL CAPITAL REGION (NCR)","Lettuce head",..,40.24,46.04,54.83,..,..,86.66,208.42,113.82,..,59.93,52.08,82.75
"..NATIONAL CAPITAL REGION (NCR)","Pechay Baguio [Chinese cabbage]",..,15.20,20.35,19.68,..,..,35.86,55.38,37.45,..,23.31,19.53,28.35
"..NATIONAL CAPITAL REGION (NCR)","Pechay native",..,12.95,19.56,18.10,..,..,33.06,24.73,31.23,..,22.84,30.63,24.14
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Celery",27.98,30.44,36.45,26.50,47.65,52.85,71.68,89.35,76.47,45.19,36.63,22.00,46.93
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Broccoli",44.02,38.51,55.52,28.36,42.67,39.69,58.06,71.44,91.42,85.79,51.28,48.73,54.62
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Cabbage",19.82,23.38,23.68,16.60,25.03,24.86,37.94,53.38,45.82,55.33,41.42,41.60,34.07
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Cauliflower",37.42,40.84,42.97,31.36,42.65,43.94,72.68,83.71,109.09,62.00,47.72,48.96,55.28
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Lettuce head",27.31,31.29,28.14,26.38,36.67,36.69,65.02,119.51,48.47,31.24,34.18,22.24,42.26
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Pechay Baguio [Chinese cabbage]",16.55,20.55,21.48,21.34,25.77,25.42,39.35,53.02,35.47,21.39,23.47,19.49,26.94
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Pechay native",24.75,20.87,22.38,28.44,34.50,34.08,50.09,47.85,39.40,42.71,37.50,45.18,35.65
"....Abra","Celery",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Broccoli",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Cabbage",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Cauliflower",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Lettuce head",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Pechay Baguio [Chinese cabbage]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Pechay native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Celery",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Broccoli",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Cabbage",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Cauliflower",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Lettuce head",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Pechay Baguio [Chinese cabbage]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Pechay native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Celery",27.98,30.44,36.45,26.50,47.65,52.85,71.68,89.35,76.47,45.19,36.63,22.00,46.93
"....Benguet","Broccoli",44.02,38.51,55.52,28.36,42.67,39.69,58.06,71.44,91.42,85.79,51.28,48.73,54.62
"....Benguet","Cabbage",19.82,23.38,23.68,16.60,25.03,24.86,37.94,53.38,45.82,55.33,41.42,41.60,34.07
"....Benguet","Cauliflower",37.42,40.84,42.97,31.36,42.65,43.94,72.68,83.71,109.09,62.00,47.72,48.96,55.28
"....Benguet","Lettuce head",27.31,31.29,28.14,26.38,36.67,36.69,65.02,119.51,48.47,31.24,34.18,22.24,42.26
