"Geolocation","Commodity","2019 January","2019 February","2019 March","2019 April","2019 May","2019 June","2019 July","2019 August","2019 September","2019 October","2019 November","2019 December","2019 Annual"
"PHILIPPINES","Chicken egg*",5.10,5.19,5.21,5.07,5.20,5.06,5.21,5.44,5.90,6.26,5.99,6.07,5.47
"PHILIPPINES","Duck Eggs, Fresh",6.80,6.83,6.80,6.78,6.82,6.82,6.95,7.70,7.40,7.33,7.55,7.25,7.09
"..NATIONAL CAPITAL REGION (NCR)","Chicken egg*",..,4.89,5.00,4.57,4.54,4.93,..,5.27,6.00,..,5.91,..,5.14
"..NATIONAL CAPITAL REGION (NCR)","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Benguet","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Chicken egg*",..,..,..,..,..,..,..,..,..,..,..,..,..
