"Geolocation","Commodity","2015 January","2015 February","2015 March","2015 April","2015 May","2015 June","2015 July","2015 August","2015 September","2015 October","2015 November","2015 December","2015 Annual"
"PHILIPPINES","Carrots",38.81,31.70,32.96,34.25,34.34,34.59,47.74,55.85,59.66,64.31,60.76,44.89,46.31
"PHILIPPINES","Cassava",8.79,9.43,9.59,13.78,9.06,8.56,11.41,10.19,10.11,7.55,8.58,8.07,9.65
"PHILIPPINES","Gabi Cebu, for ginataan [Taro (cocoyam)]",33.16,29.32,30.27,28.88,30.68,31.34,34.86,35.70,32.44,34.28,37.43,36.90,33.19
"PHILIPPINES","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",39.20,28.85,29.36,29.09,33.20,38.50,36.32,33.29,41.77,42.83,41.62,40.70,34.42
"PHILIPPINES","Radish",20.72,19.62,17.19,19.54,26.63,20.49,30.71,33.62,33.65,20.54,19.73,20.51,23.60
"PHILIPPINES","Sweet Potato",19.22,17.85,16.53,17.80,18.38,20.20,22.42,25.53,27.20,25.27,22.82,21.90,21.25
"PHILIPPINES","White/Irish Potato",38.16,33.35,33.52,32.52,32.49,32.07,37.27,36.02,35.48,38.33,42.66,54.10,38.99
"..NATIONAL CAPITAL REGION (NCR)","Carrots",..,20.69,25.21,24.93,..,..,40.53,51.99,62.03,..,58.20,36.14,39.97
"..NATIONAL CAPITAL REGION (NCR)","Cassava",..,12.49,14.64,15.88,..,..,12.48,14.41,14.81,..,10.36,9.63,13.09
"..NATIONAL CAPITAL REGION (NCR)","Gabi Cebu, for ginataan [Taro (cocoyam)]",..,28.58,31.08,30.81,..,..,45.93,43.43,34.98,..,46.84,39.21,37.61
"..NATIONAL CAPITAL REGION (NCR)","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,20.14,26.13,26.20,..,..,31.44,28.79,41.88,..,..,38.31,30.41
"..NATIONAL CAPITAL REGION (NCR)","Radish",..,16.38,17.53,18.91,..,..,35.50,28.00,43.79,..,20.73,23.38,25.53
"..NATIONAL CAPITAL REGION (NCR)","Sweet Potato",..,18.03,17.70,15.88,..,..,25.72,29.11,37.93,..,23.59,24.31,24.03
"..NATIONAL CAPITAL REGION (NCR)","White/Irish Potato",..,22.93,21.48,20.15,..,..,24.28,22.84,26.60,..,37.05,51.60,28.37
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Carrots",27.71,21.69,25.82,25.00,27.62,27.38,35.78,56.69,65.44,70.14,52.77,41.71,39.81
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Gabi Cebu, for ginataan [Taro (cocoyam)]",41.07,34.22,36.71,35.32,37.02,39.38,44.25,43.43,40.55,42.09,42.25,42.65,39.91
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Radish",23.42,21.05,21.80,17.62,23.70,26.51,37.74,33.20,30.11,24.13,22.07,18.42,24.98
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Sweet Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","White/Irish Potato",31.53,24.55,26.31,26.54,25.15,24.85,32.68,33.04,30.76,37.49,41.43,39.00,31.11
"....Abra","Carrots",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Cassava",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Gabi Cebu, for ginataan [Taro (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Radish",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Sweet Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","White/Irish Potato",..,..,..,..,..,..,..,..,..,..,..,..,..
